,property_type,place_name,state_name,price_aprox_usd,surface_covered_in_m2,ambientes,baños,balcón,cochera,parrilla,pileta,amoblado,lavadero,patio,terraza,jardin
0,apartment,Mataderos,Capital Federal,72000.0,55.0,2.0,1.0,0,0,0,0,0,1,0,0,0
1,PH,Munro,Bs.As. G.B.A. Zona Norte,130000.0,78.0,1.0,1.0,0,0,0,0,0,1,1,0,0
2,apartment,Belgrano,Capital Federal,138000.0,40.0,1.0,1.0,0,0,0,1,0,0,0,0,0
3,apartment,Belgrano,Capital Federal,195000.0,60.0,1.0,1.0,0,0,0,1,0,0,0,0,0
4,apartment,Palermo Soho,Capital Federal,111700.0,30.0,1.0,1.0,1,0,0,1,0,0,0,1,0
5,apartment,Palermo Soho,Capital Federal,147900.0,31.0,1.0,1.0,1,0,0,1,0,0,0,0,0
6,PH,Mataderos,Capital Federal,239000.0,98.0,4.0,1.0,0,1,1,0,0,0,0,0,0
7,house,Tigre,Bs.As. G.B.A. Zona Norte,570000.0,270.0,1.0,1.0,0,0,0,1,0,1,0,0,0
8,apartment,Palermo,Capital Federal,350000.0,96.0,3.0,1.0,1,0,0,0,0,0,0,1,0
9,apartment,Palermo,Capital Federal,270500.0,73.0,4.0,1.0,0,0,0,0,0,0,1,0,0
10,apartment,Pilar,Bs.As. G.B.A. Zona Norte,82000.0,42.0,2.0,1.0,0,1,0,1,0,0,0,0,1
11,apartment,Flores,Capital Federal,75000.0,43.0,2.0,1.0,1,0,0,0,0,0,0,0,0
12,house,Pilar,Bs.As. G.B.A. Zona Norte,178000.0,150.0,1.0,2.0,0,1,1,1,0,0,0,0,0
13,house,Munro,Bs.As. G.B.A. Zona Norte,130000.0,103.0,1.0,1.0,0,1,0,0,0,0,1,0,0
14,PH,Munro,Bs.As. G.B.A. Zona Norte,169000.0,160.0,6.0,1.0,0,1,0,0,0,0,1,0,0
15,house,Pilar,Bs.As. G.B.A. Zona Norte,400000.0,400.0,1.0,1.0,0,1,0,1,0,0,0,0,0
16,house,Pilar,Bs.As. G.B.A. Zona Norte,128000.0,120.0,1.0,1.0,0,1,1,0,0,1,0,0,1
17,apartment,Del Viso,Bs.As. G.B.A. Zona Norte,120000.0,74.0,3.0,1.0,0,1,1,1,0,0,0,1,0
18,apartment,Pilar,Bs.As. G.B.A. Zona Norte,79000.0,32.0,1.0,1.0,0,1,0,1,0,0,0,0,0
19,house,Pilar,Bs.As. G.B.A. Zona Norte,320000.0,209.0,1.0,1.0,0,1,1,0,0,1,0,0,0
20,PH,Pilar,Bs.As. G.B.A. Zona Norte,165000.0,140.0,4.0,1.0,0,1,1,1,0,0,1,1,0
21,apartment,Balvanera,Capital Federal,240000.0,124.0,5.0,1.0,1,1,0,0,0,0,0,1,0
22,house,Escobar,Bs.As. G.B.A. Zona Norte,245000.0,250.0,1.0,1.0,0,0,0,0,0,0,0,0,0
23,apartment,San Isidro,Bs.As. G.B.A. Zona Norte,440000.0,122.0,4.0,1.0,1,1,1,1,0,1,0,1,0
24,house,Boedo,Capital Federal,550000.0,324.0,1.0,1.0,0,1,1,1,0,1,1,1,1
